New Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
E05000184	70000	70000	77000	84000	97950	115000	127875	152750	183250	200000	200000	206500	220000	245000	215000	240000	222500	249725	245000	300000
E05000185	67500	72000	74975	70000	81750	82500	100000	128000	149950	158000	161000	167000	194500	187000	205500	202500	204000	194500	195000	226111
E05000186	91000	80500	93575	104000	119000	139000	144000	175000	196000	204500	194250	220000	240000	240000	242500	222500	242500	275000	248000	257500
E05000187	71500	73886	86000	100000	113000	138000	155250	187000	225000	238000	238000	245000	273000	272000	249995	258500	262500	275000	296000	367500
E05000188	85000	92000	102750	120950	136950	158975	178000	220000	200000	225000	240000	250000	270000	263000	276000	265000	298500	325000	350750	440000
E05000189	62000	60000	74500	81000	90000	110000	130000	150000	188500	212000	219600	220000	233000	240000	220000	235000	230500	230000	250000	250000
E05000190	57000	59500	65500	75000	79500	95250	115000	141000	171250	191500	195000	200000	217000	225000	200000	215000	212000	220000	200000	243000
E05000191	117000	132300	164000	178000	220000	249000	279250	300000	305000	305000	380000	349950	430000	440000	470000	504050	570000	560000	622500	780000
E05000192	104950	107750	130000	149708	170000	188000	229950	240000	260500	280000	302500	327500	375000	335000	355000	409500	419500	440000	450000	612500
E05000193	80000	83000	90000	78750	106500	128250	148500	158500	185000	201875	207000	235000	250000	250000	215500	225750	250000	261000	280000	319995
E05000194	95000	96000	107000	119678	131000	142250	171750	197000	235500	247000	249500	269500	299995	295000	250000	305000	306500	310000	340000	360200
E05000195	73000	80000	88375	104995	106000	122500	130000	167500	187800	207750	206500	219000	232750	240000	230000	250000	250000	250000	277000	324000
E05000196	126000	126000	146000	154000	169250	207250	240000	245750	250000	250000	270000	360000	390000	445000	400000	351475	385000	400000	357500	472000
E05000197	64500	63000	72995	71500	72250	78000	91000	122000	148750	145000	155500	177000	174498	180250	174975	154995	186500	191250	196500	210000
E05000198	68000	70000	77375	84000	86250	102000	118500	140000	175000	193750	190000	197500	220000	220000	200000	206000	218000	214000	230000	250000
E05000199	65000	65000	78000	80000	88500	103000	125000	135000	159973	160000	170000	175000	204995	196950	199588	200000	195000	215000	195000	217250
E05000200	105000	98750	110000	120000	121000	149000	182625	225000	222750	242500	275000	300000	338000	276250	300000	289000	314000	350000	338975	360000
E05000201	63600	66000	74000	79000	85000	98000	110250	134995	165000	182000	180000	192000	221000	210000	200000	208000	203500	220000	225000	260000
E05000202	95000	103000	100000	110000	120000	124950	157000	190000	228973	236000	245000	249998	285000	265000	246250	280000	285000	297000	282000	375000
E05000203	67998	68250	76748	85000	88748	100000	109000	135998	167748	180500	193500	193000	220000	220000	205000	220000	214950	214000	230000	250000
E05000204	60000	62500	70000	75000	83000	99500	115000	135000	164000	176500	180000	188000	215000	205000	184000	195000	201000	205000	215000	248000
E05000205	85000	87500	95500	108000	124000	135000	152500	169975	220000	210000	225000	249997	275000	285000	250000	285000	273000	299975	300000	353500
E05000206	63000	61750	71500	79995	82000	94000	107500	123250	148000	157000	180500	180000	204995	201000	190000	200000	207000	192500	211500	248000
E05000207	67000	74000	81500	89000	93000	117000	129950	149998	174000	190000	185000	204000	223000	225000	223000	229950	218500	233000	243000	265000
E05000208	84500	99950	105498	106000	120000	155000	165000	185000	208750	223750	241550	239748	250000	250000	240000	269500	270000	285000	292000	347500
E05000209	91000	114500	125375	123000	152000	183750	181750	225750	245000	280000	278767	298018	339000	309025	295500	315000	347000	384950	410000	500000
E05000210	83000	85000	87550	112500	117000	139975	157000	179995	217000	233000	237500	241750	273500	250000	250000	289000	279000	281000	305000	350000
E05000211	68000	68250	79000	82000	83000	108000	113625	134995	165000	182000	182750	198000	215000	215000	205000	219500	220000	215000	232000	250000
E05000212	62000	63400	70000	76750	84000	98000	109750	135000	163000	175500	187000	190000	205000	203500	180000	209000	200000	215000	218500	250000
E05000213	97000	94500	115750	121500	147000	173000	198950	218323	250000	249950	290000	305000	339000	315000	346475	323750	337475	345000	422500	435000
E05000214	55000	57500	59000	64750	69500	82998	95000	124498	152495	161500	165000	175000	184995	195000	170000	177500	170250	175000	195000	250000
E05000215	97500	94750	110000	127750	144500	165000	177500	225000	218000	229475	250000	270000	331375	335000	320000	330000	352475	362500	350000	427500
E05000216	73000	80000	89995	90000	122000	117000	145000	178500	180500	195000	230000	215000	259500	240000	250000	302500	250000	309000	350000	363000
E05000217	81000	85000	89950	103500	122000	132000	140000	184248	196000	198000	218750	225000	249995	235000	225000	249475	263000	250000	265000	325000
E05000218	74250	80000	89950	100000	111550	135000	142250	164975	195000	207500	224995	232000	249995	249995	225750	250000	250000	253750	280000	345000
E05000219	75000	79900	76000	84000	94995	115000	120000	150000	176000	175500	185000	205000	212500	221000	210000	230000	216500	230000	247750	288750
E05000220	62750	64000	74500	85000	100500	111000	115000	138000	160000	173000	183000	195000	225000	225000	190000	215500	225000	247500	250000	315500
E05000221	57250	55000	57000	63500	69000	82500	89998	120748	165000	167000	172500	175000	190000	190000	155000	185000	175000	190000	193000	224995
E05000222	94000	105000	130000	129748	145000	190000	225000	249995	249950	250000	290000	310000	290000	295000	285000	319125	320000	294500	400000	450000
E05000223	78500	80250	77500	86500	90000	141000	135000	159950	167000	180000	195750	190500	220002	235000	210000	230000	227500	230000	245000	260050
E05000224	91000	94650	101000	82000	99500	110000	114700	140000	169748	184475	190000	196000	206500	217000	235000	242750	250000	250000	250000	292755
E05000225	77950	84750	90750	124500	140000	146500	192500	237500	235000	249995	261000	270000	298176	315000	310000	345000	310000	346000	357500	379000
E05000226	59125	59000	59995	62875	69000	85000	95500	119995	144995	162750	170000	174498	193000	195000	175000	185000	174500	175000	203000	249000
E05000227	64250	64500	70000	80000	85500	100000	117500	143000	170000	180000	190000	200000	218250	221000	190000	206500	210000	220000	248000	270000
E05000228	63995	74500	76995	72495	84950	97500	115995	132998	149950	160000	190000	198475	179000	180500	155000	175000	157000	163000	157000	190000
E05000229	64000	61750	60750	60000	71625	79725	95000	112000	142625	150000	165000	163000	175000	174995	187498	177500	170000	185000	224500	267500
E05000230	75750	74000	59995	75000	78000	85500	97250	128500	175000	167500	217646	249998	245000	243500	250000	245000	215000	203200	276500	266250
E05009367	73750	79000	95000	111850	131000	150000	163000	182000	189995	225000	223000	256000	288975	283750	284750	310000	315000	315750	365000	446515
E05009368	80500	88975	78725	79995	103050	130000	150000	165000	181000	185000	211500	210000	239950	250000	230000	250000	291000	292500	293250	375000
